,Title,Date,Time,Score,Number of Comments
33,Uber PR boss Rachel Whetstone latest to quit company,2017-04-12,04:22:36,232,66
34,Police unions raffle prize: Use of stun gun on an officer,2017-04-12,16:36:20,26,6
35,"Noor Salman, the widow of Pulse nightclub massacre gunman Omar Mateen, will appear federal court Wednesday morning in downtown Orlando, prosecutors said.",2017-04-12,17:49:10,18,0
36,Missouri House passes bill to allow industrial hemp farming,2017-04-11,18:33:02,1367,80
37,EPA: US Steel leaks chemical into Lake Michigan tributary,2017-04-12,20:10:14,13,12
38,Judge sacked for trolling people on online,2017-04-12,18:50:26,14,3
39,Newlyweds both contract brain-invading parasite during honeymoon,2017-04-12,17:58:37,18,8
40,A Montana resident who wrote sexual favors in the memo line on a check to pay his property taxes is complaining that the check hasnt been cashed.,2017-04-11,23:21:33,523,97
41,NC Bill looks to ban gay marriage,2017-04-12,02:14:30,275,376
42,Germans wanting to aid refugees now at risk of bankruptcy,2017-04-12,18:48:53,13,2
43,Man filmed being dragged off United flight causes outrage in China,2017-04-11,11:10:40,5360,1125
44,Father of Texas student who killed himself over unproven allegation files suit,2017-04-12,10:39:06,50,9
45,Rage at abandonment by the state as Egypts Christians dig graves after bombing,2017-04-12,07:00:04,104,6
46,American Airlines Employee Saves the Lives of Two Passengers on a Single Day,2017-04-12,08:20:42,80,19
47,Artist J. Geils found dead in Mass. home,2017-04-12,03:25:56,188,30
48,Mans drug charges dismissed over unlawful stop,2017-04-12,19:08:49,12,5
49,"In surprise move, Irans Ahmadinejad to run for president",2017-04-12,17:34:16,13,3
50,Prosecutor Sues Florida Governor For Pulling Her From 23 Murder Cases,2017-04-12,16:25:12,14,2
51,FCC withdraws Obama-era proposal to allow cell phone use on planes,2017-04-12,06:05:38,100,73
52,Authorities in Maryland say a police officer checking on a report of car break-ins shot a man who reached for a gun in his waistband.,2017-04-12,18:04:30,12,8
53,Authorities hunt platypus serial killer in Australia,2017-04-12,16:38:39,12,2
54,Devon nurse jailed for filming himself raping toddler,2017-04-12,06:39:03,87,45
55,Putin Says to Expect Fake Gas Attacks to Discredit Assad,2017-04-11,20:01:45,583,425
56,Doctor sentenced for murder after hepatitis C outbreak has died,2017-04-12,19:52:40,9,1
57,Hexavalent chromium spill in Northwest Indiana,2017-04-12,06:58:10,78,16
58,Canadian Hearing Society ramps up pay for top executives as strike continues - Toronto,2017-04-12,17:39:04,9,1
59,Man gets 2-cent check from government and doesnt know why,2017-04-12,19:24:20,8,6
60,Former Mounties sentenced to 15 years for torturing his son,2017-04-12,19:23:12,6,3
61,Massachusetts homicide suspect captured trying to board Bradley flight to Puerto Rico,2017-04-12,18:00:27,8,0
62,Scientist unravels why shoelace knots fail,2017-04-12,18:27:35,9,6
63,Russian Media: 36 US Missiles Downed by Russia in Syrias Shayrat Airbase Attack,2017-04-12,18:14:25,9,8
64,"United CEO doubles down in email to employees, says passenger was disruptive and belligerent",2017-04-11,04:42:52,72274,11273
65,Florida Burning Governor Scott declares state of emergency,2017-04-12,07:48:11,58,16
66,Condom clogged pipe leads to arrests in massage parlor prostitution cover,2017-04-11,23:37:18,240,81
67,88-year-old man honours wifes memory by making blankets for disadvantaged children,2017-04-11,16:44:52,685,13
68,ICE Seized a Mother of Special Needs Kids With No Criminal Record Before She Could Say Goodbye,2017-04-11,23:45:57,173,249
69,CBS News investigation exposes drug abuse among Navy SEALs,2017-04-12,07:02:35,43,19
70,Sheriff IDs body of pipeline protester discovered in river,2017-04-11,17:35:44,477,64
71,Chinas H7N9 bird flu death toll at 47 in March: government data,2017-04-12,18:16:34,6,1
72,"Beat me like an animal: Muslim woman says attacker ripped off her hijab, cut her with knife",2017-04-12,16:20:40,6,19
73,Museum of Moving Image uses Kickstarter to help save Muppets,2017-04-12,18:09:38,4,0
74,NASA to announce finding which will inform the search for life beyond Earth,2017-04-11,18:16:14,402,228
75,Chief Medical Examiner pleads for more state funding,2017-04-12,18:01:07,6,2
76,Pharmaceutical Theft  $60 Million Heist Largest in Connecticut History,2017-04-12,06:36:49,40,6
77,Bacon bust: 4 charged with illegally selling wild hogs,2017-04-12,16:53:42,6,0
78,"Dorothy Mengering, David Lettermans Mom and Late Show Personality, Dies at 95",2017-04-12,07:18:56,33,0
79,A grand jury in Virginia has indicted a police officer accused of filming a minor who was undressing.,2017-04-11,16:08:30,512,69
80,Teens wheelchair stolen while he was getting treatment at hospital,2017-04-12,07:54:20,24,4
81,Putin Meets With Tillerson in Russia After Keeping Him Waiting,2017-04-12,19:51:58,5,0
82,"5 dead in murder-suicide spree in Houston, Ft. Bend Co.",2017-04-12,01:27:55,86,20
83,Charging Bull sculptor accuses NYC of violating his rights,2017-04-12,04:26:13,50,50
84,Facebook post helped trooper nab 2 Oregon elk poachers,2017-04-12,05:14:30,42,6
85,Taiwan becomes first country in (East) Asia to ban eating of cat and dog meat,2017-04-12,01:46:16,77,22
86,"Borussia Dortmund vs Monaco, Champions League: bus explosion reports latest",2017-04-11,21:59:12,155,46
87,"Syria chemical attack: Sarin gas was used in Khan Sheikhoun strike, says UK ambassador to UN",2017-04-12,18:43:42,2,1
88,Five Arrested by GSU during Sit-in Protest for Turner Field CBA,2017-04-12,20:46:22,2,0
89,Vermont considers making single-use bathrooms gender-free,2017-04-11,17:11:11,309,228
90,1 Killed in I-95 Crash That Left Semi-Truck Dangling Off Overpass in Fla.,2017-04-12,16:32:15,3,0
91,Journalist who exposed Donald Trump charitable claims and revealed grab em by the pussy tape wins Pulitzer,2017-04-11,04:25:11,3216,419
92,Chicago Police Say The Man They Brutally Dragged United Flight Just Fell,2017-04-10,23:54:41,13303,1961
93,Borussia Dortmund attack: Police investigate Islamist link,2017-04-12,19:48:09,3,0
94,Prosecutor: Manchester by the Sea inspired duo to kill son,2017-04-12,19:24:12,2,3
95,"An advocacy group says the U.S. Department of Homeland Securitys internal watchdog fielded more than 1,000 complaints of sexual assault or sexual abuse from people in custody in a little more than two years.",2017-04-11,23:19:59,81,2
96,Genius Banker Loses $225 Million Divorce Battle,2017-04-12,17:06:33,4,7
97,U.S. woman pleads guilty in plot to kill shoppers at Halifax mall,2017-04-12,06:20:19,21,5
98,Brexit latest: Food inflation hits highest rate in three years in March,2017-04-11,15:57:09,301,41
99,Upstate NY newspaper delivery driver retires after 57 years,2017-04-12,16:22:09,1,0
100,First African-American Woman to Serve on States Highest Court Found Dead in Hudson River,2017-04-13,03:45:06,28466,2690
101,"Boy, 8, drives sister, 4, to McDonalds for a cheeseburger, doesnt hit anything on the way",2017-04-13,00:05:13,11316,630
102,Charlie Murphy dead at 57 after battle with leukaemia.,2017-04-12,21:19:03,38617,1049
103,Scientists Announce That The Great Barrier Reef is Officially Terminal,2017-04-13,03:44:59,1555,183
104,Elephants pass intelligence test with profound implications for our understanding of the species,2017-04-12,19:41:36,3868,335
105,Justin Trudeau to launch plans to legalise marijuana across Canada,2017-04-12,21:14:48,2613,260
106,Texas student commits suicide after Title IX kangaroo court,2017-04-13,09:13:25,275,88
107,Governor Doug Ducey signed into law on Wednesday sweeping reforms that will make it tougher for law enforcement agencies to seize cash and property in investigations.,2017-04-13,04:25:30,656,12
108,"Germanys Schaeuble says if Muslim migrants dont like Europe, go elsewhere",2017-04-13,13:02:46,115,77
109,"Delta Airlines gives family $14,600 for being bumped off short flight",2017-04-13,07:51:01,234,74
110,Ukraine ledger reveals $1.2 million in off-the-books payments to ex-Trump aide Paul Manafort,2017-04-12,13:26:48,11956,1233
111,Satellite photos show North Korean nuclear site primed and ready,2017-04-13,11:37:42,86,35
112,"After transgender bathroom battle, North Carolina looks to ban same-sex marriage",2017-04-13,05:00:39,278,84
113,British man charged after US gamer is shot by Swat police following hoax terrorism call,2017-04-12,11:24:14,24200,4756
114,Hundreds protest at Russian Embassy over gay concentration camps in Chechnya,2017-04-13,00:17:42,645,71
115,13 year old accidentally kills himself live on Instagram,2017-04-13,06:51:09,175,184
116,Sacramento police officer suspended after video shows him punching jaywalking suspect,2017-04-12,18:29:11,1375,259
117,Netflix will invest billions to shoot its original content in California,2017-04-12,19:34:48,1087,199
118,China tells military to be ready to move to North Korea border,2017-04-12,22:36:29,601,323
119,EPA: US Steel leaks chemical into Lake Michigan tributary,2017-04-12,20:10:14,762,99
120,Black Lives Matter release video of police dragging man from his car and kicking him in the face,2017-04-13,15:58:02,16,25
121,Man placed barbed wire across cycle path in revenge plot after a rider kicked his dog,2017-04-13,01:25:10,244,99
122,Uber reportedly used Hell program to stalk Lyft drivers - CNET,2017-04-13,08:27:59,66,5
123,"Muslim men permitted to hit wives in a soft and symbolic way, Hizb ut-Tahrir Australia women say",2017-04-13,09:48:05,50,46
124,Bill filed to ban marijuana purchases with EBT cards,2017-04-13,15:52:39,14,12
125,"North Korean leader Kim Jong-un recently ordered the deportation of nearly 600,000 Pyongyang residents to the suburbs",2017-04-13,08:31:35,51,6
126,"Toby Smith, Founding Member/ex-Keyboardist of Jamiroquai, Dead at 46",2017-04-13,09:08:03,46,0
127,Oregon lawmakers vote to shield marijuana users info from feds,2017-04-12,09:10:29,3614,227
128,Foreign journalists in North Korea told to prepare for big event,2017-04-12,21:43:40,313,149
129,Teslas Musk tells disgruntled shareholders: Buy Ford,2017-04-13,09:16:14,37,14
130,"A disbarred Pennsylvania attorney has been charged with stealing nearly $147,000 from special needs clients whose money he was supposed to manage.",2017-04-12,19:16:43,451,34
131,North Korea May Be Preparing Its 6th Nuclear Test,2017-04-13,09:05:19,35,12
132,"Bitcoin value rises over $1 billion as Japan, Russia move to legitimize cryptocurrency",2017-04-12,16:52:18,634,231
133,NYPD reportedly defies sanctuary city status after alerting ICE on illegal immigrants court dates,2017-04-13,16:17:40,10,3
134,Huddersfield child sex inquiry sees 29 in court - BBC News,2017-04-13,16:07:53,8,3
135,Dallas Passes Cite and Release for Small Amounts of Pot,2017-04-13,01:39:29,108,13
136,"Mans body, seen tossed from plane, found on roof of Mexican hospital",2017-04-13,01:19:32,107,27
137,United passenger threatened with handcuffs to make room for higher-priority traveler,2017-04-12,02:29:44,33211,3578
138,Boys accused of sexual assault of Twin Falls 5-year-old plead guilty,2017-04-13,11:29:10,18,11
139,California motorcyclist decapitated in freak accident,2017-04-13,09:26:27,21,20
140,Mom of 4 U.S.-born children to be deported after appeals court blocks stay,2017-04-12,17:26:39,425,1176
