,Trend,Date,Common Words,Common Pairs,Positive Score,Negative Score
149,garbage,04/16/2017,"[(u'leonard', 77), (u'meyers', 76), (u'damian', 13), (u'lillard', 13), (u'harkless', 8), (u'tyshawn', 7), (u'taylor', 7), (u'barton', 6), (u'ezeli', 6), (u'nba', 6)]","[((u'meyers', u'leonard'), 76), ((u'damian', u'lillard'), 11), ((u'tyshawn', u'taylor'), 7), ((u'lillard', u'meyers'), 7), ((u'barton', u'tyshawn'), 6), ((u'festus', u'ezeli'), 5), ((u'leonard', u'damian'), 5), ((u'maurice', u'harkless'), 5), ((u'leonard', u'needs'), 3), ((u'harkless', u'festus'), 3)]",0.36,0.47
150,smh,04/17/2017,"[(u'tami', 14), (u'evelyn', 13), (u'like', 12), (u'love', 11), (u'jackie', 10), (u'still', 9), (u'u', 9), (u'didnt', 7), (u'need', 7), (u'mad', 6)]","[((u'woo', u'woo'), 3), ((u'love', u'tami'), 3), ((u'new', u'situation'), 3), ((u'love', u'u'), 3), ((u'mad', u'evelyn'), 2), ((u'still', u'watch'), 2), ((u'daughter', u'didnt'), 2), ((u'evelyn', u'tami'), 2), ((u'still', u'love'), 2), ((u'look', u'like'), 2)]",0.61,0.55
151,wfh,04/17/2017,"[(u'voted', 13), (u'dance', 11), (u'normani', 9), (u'watch', 8), (u'dancing', 8), (u'stars', 6), (u'vote', 5), (u'season', 5), (u'tonight', 5), (u'go', 4)]","[((u'dancing', u'stars'), 6), ((u'season', u'24'), 4), ((u'video', u'season'), 3), ((u'24', u'episode'), 3), ((u'episode', u'5'), 3), ((u'gonna', u'dance'), 2), ((u'disney', u'night'), 2), ((u'kevin', u'love'), 2), ((u'normani', u'val'), 2), ((u'cavs', u'0429'), 1)]",0.89,0.17
152,growing,04/17/2017,"[(u'major', 37), (u'tiny', 11), (u'ti', 9), (u'like', 8), (u'love', 8), (u'lol', 7), (u'mature', 7), (u'cute', 5), (u'little', 5), (u'kids', 5)]","[((u'something', u'mature'), 4), ((u'funky', u'daddy'), 3), ((u'major', u'said'), 2), ((u'major', u'like'), 2), ((u'wants', u'something'), 2), ((u'major', u'trip'), 2), ((u'major', u'smart'), 2), ((u'grown', u'man'), 2), ((u'mature', u'lol'), 2), ((u'tell', u'major'), 2)]",0.61,0.47
153,gracious,04/17/2017,"[(u'mimi', 11), (u'like', 8), (u'lovely', 8), (u'really', 7), (u'tommie', 7), (u'dime', 7), (u'ass', 6), (u'love', 6), (u'joseline', 6), (u'damn', 6)]","[((u'lovely', u'mimi'), 8), ((u'damn', u'well'), 3), ((u'knew', u'damn'), 2), ((u'black', u'people'), 2), ((u'well', u'internet'), 2), ((u'shes', u'beautiful'), 2), ((u'moved', u'life'), 2), ((u'hole', u'new'), 2), ((u'mimi', u'really'), 2), ((u'jessica', u'dime'), 2)]",0.59,0.43
154,27,04/17/2017,"[(u'love', 71), (u'kevin', 69), (u'pacers', 15), (u'irving', 14), (u'kyrie', 14), (u'cavs', 14), (u'points', 14), (u'27', 13), (u'2', 13), (u'game', 11)]","[((u'kevin', u'love'), 66), ((u'kyrie', u'irving'), 11), ((u'game', u'2'), 9), ((u'win', u'pacers'), 8), ((u'lebron', u'james'), 7), ((u'2', u'win'), 6), ((u'carry', u'cavs'), 5), ((u'big', u'3'), 5), ((u'love', u'27'), 4), ((u'11', u'boards'), 4)]",1.11,0.28
155,honor,04/17/2017,"[(u'get', 37), (u'pick', 24), (u'picked', 20), (u'right', 18), (u'dont', 14), (u'doesnt', 11), (u'finally', 10), (u'correct', 10), (u'one', 7), (u'still', 6)]","[((u'get', u'picked'), 14), ((u'dont', u'get'), 13), ((u'doesnt', u'pick'), 10), ((u'get', u'right'), 9), ((u'finally', u'get'), 4), ((u'right', u'dont'), 4), ((u'still', u'dont'), 3), ((u'right', u'doesnt'), 3), ((u'2', u'get'), 2), ((u'get', u'love'), 2)]",0.56,0.32
156,tripped,04/17/2017,"[(u'lance', 63), (u'stephenson', 11), (u'love', 8), (u'kyrie', 8), (u'pacers', 6), (u'really', 5), (u'got', 5), (u'nasty', 4), (u'like', 4), (u'dance', 3)]","[((u'lance', u'stephenson'), 11), ((u'lance', u'love'), 3), ((u'kyrie', u'lance'), 3), ((u'really', u'really'), 2), ((u'dm', u'instagram'), 2), ((u'good', u'prank'), 2), ((u'lance', u'didnt'), 2), ((u'kevin', u'love'), 2), ((u'really', u'good'), 2), ((u'lance', u'dm'), 2)]",0.51,0.44
157,raw,04/17/2017,"[(u'alexa', 72), (u'bliss', 71), (u'vs', 17), (u'raw', 16), (u'bayley', 12), (u'womens', 11), (u'sasha', 10), (u'championship', 9), (u'contender', 9), (u'payback', 8)]","[((u'alexa', u'bliss'), 70), ((u'sasha', u'banks'), 7), ((u'womens', u'championship'), 7), ((u'raw', u'womens'), 6), ((u'vs', u'alexa'), 6), ((u'bliss', u'number'), 4), ((u'nia', u'jax'), 4), ((u'banks', u'vs'), 4), ((u'vs', u'bayley'), 3), ((u'love', u'alexa'), 3)]",1.35,0.31
158,downtown,04/17/2017,"[(u'tony', 75), (u'parker', 72), (u'like', 9), (u'spurs', 9), (u'playing', 7), (u'playoffs', 6), (u'court', 6), (u'night', 5), (u'back', 5), (u'3', 5)]","[((u'tony', u'parker'), 72), ((u'full', u'court'), 5), ((u'3', u'night'), 4), ((u'lead', u'nbaontnt'), 4), ((u'spurs', u'biggest'), 4), ((u'biggest', u'lead'), 4), ((u'parker', u'knocks'), 4), ((u'vince', u'carter'), 4), ((u'night', u'spurs'), 4), ((u'knocks', u'second'), 4)]",0.32,0.17
