,Trend,Date,Common Words,Common Pairs,Positive Score,Negative Score
187,cave,04/18/2017,"[(u'leicester', 73), (u'city', 12), (u'well', 11), (u'proud', 8), (u'atletico', 7), (u'league', 7), (u'champions', 7), (u'fuck', 6), (u'go', 5), (u'gave', 5)]","[((u'leicester', u'city'), 12), ((u'champions', u'league'), 5), ((u'played', u'leicester'), 4), ((u'atletico', u'madrid'), 4), ((u'unlucky', u'leicester'), 4), ((u'well', u'played'), 4), ((u'leicester', u'gave'), 4), ((u'11', u'atletico'), 3), ((u'leicester', u'fan'), 3), ((u'fuck', u'leicester'), 3)]",0.85,0.37
188,pennsylvania,04/18/2017,"[(u'pennsylvania', 41), (u'stephens', 31), (u'dead', 29), (u'found', 24), (u'police', 14), (u'facebook', 12), (u'steve', 11), (u'murder', 7), (u'killed', 6), (u'suspect', 6)]","[((u'found', u'dead'), 24), ((u'stephens', u'found'), 22), ((u'steve', u'stephens'), 11), ((u'dead', u'pennsylvania'), 6), ((u'stephens', u'dead'), 5), ((u'murder', u'suspect'), 4), ((u'pennsylvania', u'state'), 3), ((u'kills', u'self'), 3), ((u'suspect', u'killed'), 3), ((u'facebook', u'murder'), 3)]",0.27,0.76
189,lol,04/18/2017,"[(u'meadows', 69), (u'austin', 66), (u'marte', 16), (u'time', 14), (u'pirates', 10), (u'starling', 8), (u'call', 8), (u'prospect', 7), (u'suspension', 6), (u'aaa', 6)]","[((u'austin', u'meadows'), 65), ((u'prospect', u'austin'), 7), ((u'starling', u'marte'), 7), ((u'meadows', u'time'), 6), ((u'pirates', u'prospect'), 3), ((u'80', u'games'), 3), ((u'marte', u'suspension'), 3), ((u'call', u'top'), 3), ((u'girlfriend', u'pirates'), 3), ((u'top', u'prospect'), 3)]",0.55,0.17
190,close,04/18/2017,"[(u'erie', 55), (u'pa', 20), (u'steve', 15), (u'police', 15), (u'stephens', 14), (u'facebook', 11), (u'dead', 11), (u'cleveland', 11), (u'killer', 8), (u'man', 7)]","[((u'erie', u'pa'), 18), ((u'steve', u'stephens'), 14), ((u'stephens', u'dead'), 6), ((u'facebook', u'murder'), 5), ((u'police', u'say'), 4), ((u'facebook', u'killer'), 4), ((u'man', u'wanted'), 4), ((u'lake', u'erie'), 4), ((u'murder', u'kills'), 4), ((u'cleveland', u'facebook'), 4)]",0.37,0.75
191,patz,04/18/2017,"[(u'etan', 71), (u'years', 70), (u'25', 68), (u'patz', 64), (u'gets', 53), (u'1979', 46), (u'boy', 38), (u'case', 38), (u'missing', 37), (u'pedro', 32)]","[((u'25', u'years'), 68), ((u'etan', u'patz'), 64), ((u'gets', u'25'), 52), ((u'1979', u'case'), 35), ((u'case', u'missing'), 35), ((u'missing', u'boy'), 32), ((u'pedro', u'hernandez'), 31), ((u'hernandez', u'gets'), 28), ((u'man', u'gets'), 23), ((u'years', u'1979'), 22)]",0.01,0.68
192,eventos,04/18/2017,"[(u'capitolio', 25), (u'el', 5), (u'photo', 3), (u'texas', 3), (u'de', 3), (u'people', 3), (u'posted', 3), (u'im', 3), (u'tx', 2), (u'tv', 2)]","[((u'el', u'capitolio'), 5), ((u'posted', u'photo'), 3), ((u'photo', u'el'), 2), ((u'look', u'capitolio'), 2), ((u'host', u'special'), 2), ((u'people', u'people'), 2), ((u'capitolio', u'tv'), 2), ((u'debt', u'audit'), 2), ((u'taking', u'look'), 2), ((u'newlyweds', u'selecting'), 2)]",0.22,0.05
193,time,04/18/2017,"[(u'host', 74), (u'spacey', 50), (u'kevin', 50), (u'tony', 44), (u'awards', 43), (u'2017', 41), (u'june', 25), (u'11', 24), (u'tonys', 10), (u'announced', 8)]","[((u'kevin', u'spacey'), 49), ((u'tony', u'awards'), 43), ((u'2017', u'tony'), 39), ((u'spacey', u'host'), 33), ((u'host', u'2017'), 32), ((u'june', u'11'), 24), ((u'host', u'june'), 23), ((u'spacey', u'announced'), 8), ((u'awards', u'host'), 8), ((u'announced', u'2017'), 8)]",0.04,0.04
194,gillisle,04/18/2017,"[(u'gillislee', 66), (u'patriots', 29), (u'bills', 25), (u'mike', 25), (u'offer', 25), (u'sheet', 20), (u'rb', 16), (u'sign', 14), (u'source', 9), (u'would', 9)]","[((u'mike', u'gillislee'), 23), ((u'offer', u'sheet'), 20), ((u'gillislee', u'offer'), 15), ((u'sign', u'bills'), 12), ((u'patriots', u'sign'), 11), ((u'rb', u'gillislee'), 9), ((u'ap', u'source'), 9), ((u'source', u'patriots'), 9), ((u'bills', u'rb'), 9), ((u'restricted', u'free'), 4)]",0.48,0.24
195,series,04/18/2017,"[(u'bochy', 80), (u'giants', 73), (u'procedure', 70), (u'heart', 58), (u'minor', 56), (u'undergoes', 55), (u'bruce', 49), (u'miss', 36), (u'manager', 30), (u'series', 20)]","[((u'bochy', u'undergoes'), 55), ((u'heart', u'procedure'), 54), ((u'undergoes', u'minor'), 52), ((u'minor', u'heart'), 52), ((u'bruce', u'bochy'), 49), ((u'giants', u'manager'), 29), ((u'manager', u'bruce'), 29), ((u'giants', u'bochy'), 29), ((u'procedure', u'miss'), 17), ((u'miss', u'twogame'), 17)]",0.81,0.03
196,via,04/18/2017,"[(u'akbar', 57), (u'allahu', 57), (u'fresno', 51), (u'3', 31), (u'shooting', 25), (u'killed', 24), (u'people', 19), (u'shouts', 18), (u'suspect', 18), (u'three', 17)]","[((u'allahu', u'akbar'), 56), ((u'fresno', u'shooting'), 24), ((u'killed', u'3'), 20), ((u'shouts', u'allahu'), 17), ((u'akbar', u'arrested'), 14), ((u'suspect', u'fresno'), 14), ((u'shooting', u'spree'), 14), ((u'3', u'shouts'), 13), ((u'spree', u'killed'), 10), ((u'three', u'people'), 9)]",0.13,0.84
197,punishment,04/18/2017,"[(u'knocks', 65), (u'hard', 64), (u'buccaneers', 24), (u'bucs', 18), (u'report', 14), (u'bay', 10), (u'tampa', 10), (u'2017', 9), (u'series', 9), (u'featured', 8)]","[((u'hard', u'knocks'), 64), ((u'tampa', u'bay'), 10), ((u'knocks', u'2017'), 8), ((u'knocks', u'series'), 7), ((u'report', u'buccaneers'), 7), ((u'hbos', u'hard'), 6), ((u'buccaneers', u'hard'), 6), ((u'bucs', u'hard'), 5), ((u'buccaneers', u'featured'), 5), ((u'featured', u'hard'), 5)]",0.35,0.99
198,pleas,04/18/2017,"[(u'bots', 59), (u'facebook', 46), (u'f8', 44), (u'big', 44), (u'unveils', 42), (u'push', 42), (u'messenger', 40), (u'david', 40), (u'marcus', 39), (u'find', 15)]","[((u'big', u'push'), 42), ((u'unveils', u'big'), 42), ((u'push', u'bots'), 42), ((u'bots', u'f8'), 42), ((u'facebook', u'unveils'), 42), ((u'david', u'marcus'), 38), ((u'easier', u'find'), 15), ((u'messenger', u'updates'), 15), ((u'marcus', u'making'), 15), ((u'bots', u'easier'), 15)]",0.04,0.03
199,seasons,04/18/2017,"[(u'tulloch', 75), (u'stephen', 58), (u'11', 56), (u'seasons', 55), (u'retire', 54), (u'lb', 33), (u'veteran', 24), (u'linebacker', 19), (u'retirement', 14), (u'announce', 13)]","[((u'stephen', u'tulloch'), 58), ((u'11', u'seasons'), 55), ((u'tulloch', u'retire'), 53), ((u'retire', u'11'), 52), ((u'lb', u'stephen'), 33), ((u'veteran', u'lb'), 24), ((u'linebacker', u'tulloch'), 17), ((u'announce', u'retirement'), 13), ((u'tulloch', u'announce'), 12), ((u'retirement', u'thursday'), 9)]",0.01,0.0
200,win,04/18/2017,"[(u'celtics', 54), (u'bulls', 12), (u'seed', 9), (u'fans', 9), (u'series', 8), (u'win', 7), (u'20', 7), (u'1', 6), (u'back', 6), (u'take', 5)]","[((u'celtics', u'fans'), 6), ((u'1', u'seed'), 4), ((u'take', u'20'), 3), ((u'back', u'win'), 2), ((u'marcus', u'smart'), 2), ((u'celtics', u'finished'), 2), ((u'come', u'back'), 2), ((u'win', u'series'), 2), ((u'celtics', u'take'), 2), ((u'20', u'lead'), 2)]",0.52,0.33
201,toes,04/18/2017,"[(u'ossoff', 14), (u'fulton', 13), (u'county', 8), (u'trump', 8), (u'election', 7), (u'handel', 7), (u'results', 6), (u'race', 5), (u'get', 5), (u'waiting', 4)]","[((u'fulton', u'county'), 6), ((u'fulton', u'co'), 4), ((u'karen', u'handel'), 4), ((u'tight', u'race'), 2), ((u'nancy', u'pelosi'), 2), ((u'sanders', u'elizabeth'), 2), ((u'special', u'election'), 2), ((u'live', u'district'), 2), ((u'looks', u'like'), 2), ((u'bernie', u'sanders'), 2)]",0.55,0.39
202,series,04/18/2017,"[(u'bulls', 58), (u'celtics', 16), (u'20', 10), (u'win', 10), (u'series', 8), (u'team', 7), (u'nba', 7), (u'take', 7), (u'playoffs', 6), (u'got', 6)]","[((u'take', u'20'), 5), ((u'bulls', u'win'), 5), ((u'marcus', u'smart'), 3), ((u'bulls', u'fans'), 3), ((u'20', u'lead'), 3), ((u'chicago', u'bulls'), 3), ((u'20', u'series'), 3), ((u'go', u'bulls'), 2), ((u'nba', u'3'), 2), ((u'celtics', u'11197'), 2)]",0.47,0.35
203,charlotte,04/18/2017,"[(u'jinder', 10), (u'next', 9), (u'match', 8), (u'charlotte', 8), (u'week', 7), (u'like', 6), (u'dont', 6), (u'good', 5), (u'womens', 5), (u'mahal', 5)]","[((u'next', u'week'), 5), ((u'john', u'cena'), 3), ((u'jinder', u'mahal'), 3), ((u'main', u'event'), 3), ((u'primo', u'epico'), 2), ((u'womens', u'division'), 2), ((u'championship', u'match'), 2), ((u'congrats', u'jinder'), 2), ((u'claim', u'throne'), 2), ((u'throne', u'top'), 2)]",0.6,0.39
204,week,04/18/2017,"[(u'framework', 8), (u'like', 8), (u'cant', 8), (u'episode', 7), (u'time', 7), (u'see', 6), (u'right', 5), (u'may', 5), (u'love', 5), (u'dont', 5)]","[((u'1', u'faves'), 3), ((u'next', u'week'), 2), ((u'madames', u'men'), 2), ((u'promo', u'promotional'), 2), ((u'promotional', u'photos'), 2), ((u'melinda', u'may'), 2), ((u'419', u'madames'), 2), ((u'happy', u'birthday'), 2), ((u'dont', u'wanna'), 2), ((u'men', u'promo'), 2)]",0.6,0.33
205,minute,04/18/2017,"[(u'kim', 16), (u'bunny', 15), (u'like', 10), (u'rinna', 9), (u'lisa', 7), (u'dont', 6), (u'richards', 6), (u'know', 6), (u'reunion', 5), (u'lying', 5)]","[((u'kim', u'richards'), 4), ((u'lisa', u'rinna'), 4), ((u'feels', u'like'), 3), ((u'kyle', u'richards'), 2), ((u'dont', u'like'), 2), ((u'last', u'season'), 2), ((u'like', u'kim'), 2), ((u'public', u'humiliation'), 2), ((u'humiliation', u'feels'), 2), ((u'kim', u'makes'), 2)]",0.48,0.89
206,suit,04/18/2017,"[(u'rondo', 74), (u'wade', 15), (u'bulls', 11), (u'rajon', 10), (u'butler', 10), (u'playoff', 9), (u'celtics', 7), (u'im', 7), (u'team', 6), (u'hated', 6)]","[((u'rajon', u'rondo'), 10), ((u'playoff', u'rondo'), 8), ((u'wade', u'butler'), 5), ((u'rondo', u'first'), 3), ((u'rondo', u'still'), 3), ((u'take', u'20'), 3), ((u'butler', u'wade'), 2), ((u'rondo', u'one'), 2), ((u'rondo', u'wade'), 2), ((u'rondo', u'shoot'), 2)]",0.47,0.23
207,mall,04/18/2017,"[(u'star', 8), (u'trek', 4), (u'day', 3), (u'2', 3), (u'doctor', 3), (u'earth', 2), (u'outer', 2), (u'jar', 2), (u'predator', 2), (u'12', 2)]","[((u'star', u'trek'), 4), ((u'star', u'wars'), 2), ((u'terminator', u'2'), 2), ((u'earth', u'stood'), 1), ((u'united', u'airlines'), 1), ((u'holiday', u'special'), 1), ((u'airlines', u'passengers'), 1), ((u'last', u'starfighter'), 1), ((u'runner', u'club'), 1), ((u'wrath', u'kant'), 1)]",0.15,0.17
208,stevens,04/18/2017,"[(u'brad', 74), (u'stevens', 72), (u'playoffs', 16), (u'210', 13), (u'coach', 9), (u'playoff', 8), (u'hoiberg', 7), (u'celtics', 7), (u'fred', 6), (u'hes', 6)]","[((u'brad', u'stevens'), 72), ((u'stevens', u'210'), 10), ((u'fred', u'hoiberg'), 6), ((u'210', u'playoffs'), 5), ((u'playoffs', u'kind'), 5), ((u'kind', u'brad'), 5), ((u'playoff', u'series'), 3), ((u'isaiah', u'thomas'), 3), ((u'210', u'playoff'), 3), ((u'danny', u'ainge'), 3)]",0.59,0.39
209,close,04/18/2017,"[(u'cb', 78), (u'bucknor', 70), (u'game', 15), (u'umpire', 12), (u'worst', 7), (u'tonight', 7), (u'seen', 7), (u'ump', 7), (u'ever', 6), (u'good', 6)]","[((u'cb', u'bucknor'), 69), ((u'cb', u'bucknors'), 5), ((u'fire', u'cb'), 5), ((u'bucknor', u'worst'), 4), ((u'ever', u'seen'), 4), ((u'home', u'plate'), 3), ((u'bucknor', u'tonight'), 3), ((u'game', u'tonight'), 3), ((u'ive', u'ever'), 3), ((u'bucknor', u'trending'), 3)]",0.45,0.8
210,together,04/18/2017,"[(u'wade', 62), (u'rondo', 23), (u'butler', 13), (u'hated', 12), (u'bulls', 9), (u'playoffs', 6), (u'playoff', 6), (u'lol', 6), (u'dwyane', 5), (u'thats', 5)]","[((u'wade', u'butler'), 8), ((u'dwyane', u'wade'), 5), ((u'butler', u'wade'), 3), ((u'hated', u'hated'), 3), ((u'rondo', u'hated'), 3), ((u'rondo', u'wade'), 3), ((u'dwayne', u'wade'), 3), ((u'wade', u'davis'), 3), ((u'rajon', u'rondo'), 3), ((u'hated', u'rajon'), 2)]",0.43,0.23
211,see,04/18/2017,"[(u'oreilly', 57), (u'bill', 45), (u'fox', 30), (u'news', 23), (u'preparing', 9), (u'cut', 8), (u'ties', 7), (u'talking', 7), (u'show', 7), (u'exit', 7)]","[((u'bill', u'oreilly'), 33), ((u'fox', u'news'), 22), ((u'talking', u'exit'), 7), ((u'preparing', u'cut'), 7), ((u'ties', u'bill'), 7), ((u'cut', u'ties'), 7), ((u'news', u'preparing'), 6), ((u'news', u'bill'), 6), ((u'oreilly', u'talking'), 6), ((u'source', u'fox'), 5)]",0.48,0.43
212,team,04/18/2017,"[(u'reyes', 70), (u'jose', 22), (u'montero', 17), (u'needs', 9), (u'game', 8), (u'mets', 6), (u'play', 6), (u'fucking', 6), (u'go', 5), (u'team', 5)]","[((u'jose', u'reyes'), 21), ((u'reyes', u'montero'), 4), ((u'reyes', u'fucking'), 4), ((u'reyes', u'needs'), 4), ((u'rafael', u'montero'), 3), ((u'lost', u'game'), 3), ((u'montero', u'needs'), 3), ((u'blame', u'reyes'), 2), ((u'blaming', u'tda'), 2), ((u'dfa', u'montero'), 2)]",0.33,0.81
213,zipser,04/18/2017,"[(u'paul', 75), (u'zipser', 74), (u'16', 10), (u'bulls', 7), (u'game', 7), (u'points', 7), (u'lopez', 6), (u'robin', 6), (u'im', 6), (u'let', 5)]","[((u'paul', u'zipser'), 71), ((u'robin', u'lopez'), 6), ((u'zipser', u'ball'), 5), ((u'hell', u'paul'), 4), ((u'zipser', u'scored'), 3), ((u'16', u'pts'), 3), ((u'bobby', u'portis'), 3), ((u'16', u'points'), 3), ((u'rest', u'playoffs'), 2), ((u'al', u'horford'), 2)]",0.21,0.33
214,jumper,04/18/2017,"[(u'kyle', 72), (u'lowry', 66), (u'game', 40), (u'2', 31), (u'nba', 22), (u'playoffs', 21), (u'video', 18), (u'trying', 17), (u'praises', 17), (u'team', 17)]","[((u'kyle', u'lowry'), 65), ((u'game', u'2'), 29), ((u'nba', u'playoffs'), 20), ((u'video', u'kyle'), 18), ((u'task', u'praises'), 17), ((u'playoffs', u'video'), 17), ((u'calls', u'trying'), 17), ((u'trying', u'stop'), 17), ((u'stop', u'giannis'), 17), ((u'impossible', u'task'), 17)]",0.31,1.11
215,says,04/18/2017,"[(u'plan', 15), (u'zamora', 12), (u'celtics', 5), (u'5', 4), (u'top', 3), (u'1', 3), (u'3', 3), (u'2', 2), (u'4', 2), (u'execute', 2)]","[((u'plan', u'zamora'), 12), ((u'1', u'2'), 2), ((u'2', u'3'), 2), ((u'execute', u'order'), 2), ((u'order', u'plan'), 2), ((u'top', u'5'), 2), ((u'5', u'1'), 2), ((u'tr\xf3pico', u'quotes'), 1), ((u'time', u'come'), 1), ((u'quotes', u'prrresidente'), 1)]",0.38,0.13
216,shot,04/18/2017,"[(u'richard', 71), (u'spencer', 63), (u'auburn', 28), (u'white', 13), (u'nationalist', 13), (u'speech', 11), (u'speaks', 7), (u'university', 7), (u'amid', 6), (u'draws', 6)]","[((u'richard', u'spencer'), 63), ((u'nationalist', u'richard'), 10), ((u'white', u'nationalist'), 8), ((u'spencer', u'speaks'), 7), ((u'auburn', u'university'), 7), ((u'university', u'amid'), 6), ((u'speaks', u'auburn'), 6), ((u'leader', u'richard'), 4), ((u'spencer', u'speech'), 4), ((u'richard', u'spencers'), 4)]",0.65,0.43
217,happened,04/18/2017,"[(u'karen', 57), (u'handel', 53), (u'runoff', 21), (u'trump', 17), (u'big', 16), (u'election', 15), (u'special', 15), (u'headed', 15), (u'first', 14), (u'era', 14)]","[((u'karen', u'handel'), 53), ((u'toward', u'runoff'), 14), ((u'special', u'election'), 14), ((u'election', u'trump'), 14), ((u'era', u'may'), 14), ((u'big', u'special'), 14), ((u'may', u'headed'), 14), ((u'trump', u'era'), 14), ((u'headed', u'toward'), 14), ((u'first', u'big'), 14)]",0.68,0.27
218,pitch,04/18/2017,"[(u'ron', 75), (u'washington', 72), (u'even', 8), (u'cb', 8), (u'coach', 7), (u'foul', 7), (u'game', 7), (u'braves', 6), (u'end', 6), (u'like', 5)]","[((u'ron', u'washington'), 72), ((u'coach', u'ron'), 4), ((u'foul', u'tip'), 4), ((u'end', u'game'), 4), ((u'cb', u'bucknor'), 4), ((u'wasnt', u'even'), 3), ((u'base', u'coach'), 3), ((u'washington', u'said'), 3), ((u'foul', u'tipped'), 3), ((u'ball', u'foul'), 2)]",0.47,0.68
219,idea,04/18/2017,"[(u'shawn', 75), (u'kelley', 74), (u'closer', 24), (u'new', 10), (u'blake', 8), (u'treinen', 8), (u'thank', 7), (u'nats', 6), (u'one', 5), (u'time', 5)]","[((u'shawn', u'kelley'), 73), ((u'new', u'closer'), 9), ((u'kelley', u'closer'), 8), ((u'thank', u'shawn'), 6), ((u'kelley', u'new'), 6), ((u'make', u'shawn'), 4), ((u'blake', u'treinen'), 3), ((u'kelley', u'needs'), 3), ((u'treinen', u'allowed'), 2), ((u'kelley', u'gets'), 2)]",0.32,0.31
220,cain,04/18/2017,"[(u'matt', 78), (u'cain', 77), (u'tonight', 10), (u'game', 9), (u'like', 8), (u'run', 8), (u'well', 7), (u'giants', 6), (u'good', 6), (u'old', 6)]","[((u'matt', u'cain'), 75), ((u'run', u'support'), 5), ((u'1', u'er'), 4), ((u'cain', u'pitching'), 4), ((u'like', u'matt'), 3), ((u'cain', u'looking'), 3), ((u'cain', u'7'), 3), ((u'7', u'ip'), 3), ((u'great', u'job'), 3), ((u'like', u'old'), 3)]",0.67,0.31
221,32,04/18/2017,"[(u'hainsey', 73), (u'ron', 72), (u'playoff', 30), (u'goal', 29), (u'first', 21), (u'penguins', 10), (u'nhl', 8), (u'ever', 7), (u'career', 7), (u'32', 7)]","[((u'ron', u'hainsey'), 68), ((u'playoff', u'goal'), 24), ((u'first', u'playoff'), 8), ((u'career', u'playoff'), 7), ((u'first', u'career'), 6), ((u'ever', u'playoff'), 5), ((u'first', u'ever'), 5), ((u'hainsey', u'scores'), 5), ((u'columbus', u'blue'), 4), ((u'blue', u'jackets'), 4)]",0.27,0.21
222,tonight,04/18/2017,"[(u'smith', 76), (u'brendan', 75), (u'game', 15), (u'tonight', 12), (u'love', 6), (u'took', 6), (u'get', 5), (u'ice', 5), (u'back', 5), (u'time', 5)]","[((u'brendan', u'smith'), 75), ((u'smith', u'tonight'), 3), ((u'ice', u'time'), 3), ((u'smith', u'must'), 2), ((u'every', u'time'), 2), ((u'playoff', u'game'), 2), ((u'like', u'brendan'), 2), ((u'coming', u'back'), 2), ((u'took', u'beating'), 2), ((u'smith', u'fucking'), 2)]",0.45,0.57
223,start,04/18/2017,"[(u'miguel', 41), (u'gonzalez', 40), (u'sox', 37), (u'yanks', 36), (u'white', 35), (u'stop', 23), (u'gonzo', 21), (u'way', 21), (u'end', 21), (u'yankees', 20)]","[((u'miguel', u'gonzalez'), 39), ((u'white', u'sox'), 35), ((u'stop', u'yanks'), 23), ((u'sox', u'stop'), 23), ((u'end', u'white'), 21), ((u'way', u'end'), 21), ((u'gonzo', u'way'), 21), ((u'win', u'streak'), 12), ((u'yanks', u'miguel'), 6), ((u'streak', u'8'), 6)]",0.6,0.12
224,game,04/18/2017,"[(u'win', 83), (u'rangers', 73), (u'game', 14), (u'series', 10), (u'4', 7), (u'go', 5), (u'21', 5), (u'playoff', 5), (u'night', 5), (u'tied', 5)]","[((u'rangers', u'win'), 69), ((u'game', u'4'), 7), ((u'win', u'game'), 6), ((u'win', u'rangers'), 4), ((u'tie', u'series'), 4), ((u'henrik', u'lundqvist'), 4), ((u'win', u'tie'), 4), ((u'playoff', u'game'), 3), ((u'series', u'tied'), 3), ((u'win', u'series'), 3)]",0.28,0.33
225,suicide,04/19/2017,"[(u'aaron', 72), (u'hernandez', 67), (u'star', 11), (u'killed', 10), (u'dead', 9), (u'exnfl', 8), (u'gunman', 8), (u'2012', 8), (u'found', 8), (u'identified', 8)]","[((u'aaron', u'hernandez'), 67), ((u'star', u'aaron'), 11), ((u'hernandez', u'identified'), 8), ((u'exnfl', u'star'), 8), ((u'identified', u'gunman'), 8), ((u'gunman', u'2012'), 8), ((u'hernandez', u'killed'), 7), ((u'driveby', u'shooting'), 7), ((u'2012', u'driveby'), 7), ((u'found', u'dead'), 7)]",0.59,0.67
226,newspaper,04/19/2017,"[(u'see', 5), (u'make', 5), (u'dont', 4), (u'little', 4), (u'im', 4), (u'great', 3), (u'today', 3), (u'dem', 3), (u'man', 3), (u'need', 3)]","[((u'life', u'repeated'), 1), ((u'word', u'wrong'), 1), ((u'runoff', u'poor'), 1), ((u'uprooting', u'becoming'), 1), ((u'make', u'great'), 1), ((u'f', u'fear'), 1), ((u'look', u'ahead'), 1), ((u'easy', u'end'), 1), ((u'lift', u'please'), 1), ((u'fertiliser', u'mulched'), 1)]",0.59,0.4
227,looking,04/19/2017,"[(u'roberts', 70), (u'julia', 69), (u'beautiful', 57), (u'woman', 39), (u'peoples', 30), (u'named', 19), (u'makes', 16), (u'history', 16), (u'time', 15), (u'worlds', 14)]","[((u'julia', u'roberts'), 67), ((u'beautiful', u'woman'), 36), ((u'peoples', u'beautiful'), 27), ((u'roberts', u'named'), 18), ((u'history', u'peoples'), 16), ((u'makes', u'history'), 16), ((u'roberts', u'makes'), 16), ((u'worlds', u'beautiful'), 13), ((u'fifth', u'time'), 10), ((u'named', u'peoples'), 10)]",0.97,0.09
228,lunch,04/19/2017,"[(u'hard', 73), (u'times', 70), (u'paramore', 23), (u'gonna', 8), (u'new', 8), (u'im', 7), (u'even', 7), (u'song', 6), (u'like', 6), (u'via', 6)]","[((u'hard', u'times'), 68), ((u'paramore', u'hard'), 10), ((u'times', u'gonna'), 6), ((u'pleased', u'present'), 5), ((u'thanks', u'waiting'), 5), ((u'times', u'paramore'), 5), ((u'even', u'try'), 5), ((u'present', u'hard'), 5), ((u'waiting', u'pleased'), 5), ((u'hello', u'thanks'), 5)]",0.36,1.13
229,awareness,04/19/2017,"[(u'happy', 18), (u'iu', 11), (u'day', 9), (u'via', 7), (u'support', 7), (u'hoosiers', 6), (u'go', 5), (u'celebrate', 5), (u'today', 5), (u'read', 4)]","[((u'iu', u'day'), 3), ((u'nurses', u'via'), 2), ((u'hoohoohoo', u'hoosiers'), 2), ((u'chance', u'win'), 2), ((u'go', u'iu'), 2), ((u'hoo', u'hoo'), 2), ((u'showalter', u'fountain'), 2), ((u'wolves', u'read'), 2), ((u'happy', u'iu'), 2), ((u'support', u'future'), 2)]",0.77,0.11
230,single,04/19/2017,"[(u'paramore', 36), (u'new', 26), (u'im', 12), (u'song', 10), (u'album', 9), (u'like', 8), (u'hard', 6), (u'times', 6), (u'back', 5), (u'love', 5)]","[((u'new', u'paramore'), 8), ((u'hard', u'times'), 6), ((u'new', u'song'), 6), ((u'new', u'album'), 5), ((u'paramores', u'new'), 4), ((u'paramore', u'hard'), 4), ((u'paramore', u'song'), 3), ((u'new', u'single'), 3), ((u'sounds', u'like'), 3), ((u'video', u'paramore'), 2)]",0.43,0.23
231,treason,04/19/2017,"[(u'wall', 19), (u'build', 8), (u'stop', 7), (u'people', 7), (u'us', 7), (u'never', 5), (u'trump', 5), (u'dont', 5), (u'border', 5), (u'would', 4)]","[((u'build', u'wall'), 3), ((u'wall', u'stop'), 2), ((u'promoted', u'fair'), 2), ((u'wall', u'would'), 2), ((u'stupid', u'ass'), 2), ((u'illegal', u'immigration'), 2), ((u'going', u'stop'), 2), ((u'stop', u'illegal'), 2), ((u'stop', u'people'), 2), ((u'border', u'wall'), 2)]",0.45,0.61
232,new,04/19/2017,"[(u'unicorn', 10), (u'today', 8), (u'new', 8), (u'drink', 7), (u'try', 6), (u'get', 5), (u'starbucks', 5), (u'want', 5), (u'please', 4), (u'dont', 4)]","[((u'unicorn', u'frappuccino'), 3), ((u'new', u'drink'), 2), ((u'tastes', u'like'), 2), ((u'need', u'life'), 2), ((u'try', u'new'), 2), ((u'devouring', u'latest'), 1), ((u'got', u'try'), 1), ((u'seems', u'tapping'), 1), ((u'new', u'studio'), 1), ((u'unicorn', u'treasure'), 1)]",0.48,0.32
233,hears,04/19/2017,"[(u'dont', 9), (u'like', 8), (u'go', 7), (u'ham', 6), (u'eggs', 6), (u'green', 6), (u'fish', 5), (u'one', 5), (u'two', 5), (u'cat', 5)]","[((u'green', u'eggs'), 6), ((u'eggs', u'ham'), 4), ((u'dont', u'give'), 4), ((u'frankly', u'dear'), 3), ((u'dear', u'dont'), 3), ((u'think', u'therefore'), 3), ((u'give', u'damn'), 3), ((u'oh', u'places'), 2), ((u'say', u'hello'), 2), ((u'therefore', u'sam'), 2)]",0.33,0.36
234,via,04/19/2017,"[(u'oneal', 90), (u'shareef', 77), (u'arizona', 48), (u'son', 47), (u'commits', 36), (u'2018', 30), (u'via', 25), (u'shaquille', 23), (u'class', 22), (u'rankings', 20)]","[((u'shareef', u'oneal'), 71), ((u'commits', u'arizona'), 32), ((u'oneal', u'son'), 29), ((u'class', u'2018'), 21), ((u'oneal', u'19'), 20), ((u'rankings', u'class'), 20), ((u'espn', u'60'), 20), ((u'60', u'rankings'), 20), ((u'19', u'espn'), 20), ((u'2018', u'via'), 19)]",0.12,0.05
235,day,04/19/2017,"[(u'hump', 74), (u'day', 71), (u'happy', 40), (u'morning', 6), (u'great', 6), (u'go', 4), (u'get', 4), (u'got', 4), (u'good', 4), (u'wednesday', 3)]","[((u'hump', u'day'), 64), ((u'happy', u'hump'), 39), ((u'good', u'morning'), 4), ((u'wcw', u'great'), 2), ((u'day', u'slump'), 2), ((u'day', u'gorgeous'), 2), ((u'getting', u'hump'), 2), ((u'day', u'wcw'), 2), ((u'de', u'hump'), 2), ((u'day', u'hunny'), 2)]",1.05,0.12
236,handled,04/19/2017,"[(u'mini', 72), (u'snes', 64), (u'nintendo', 22), (u'year', 12), (u'nes', 12), (u'sources', 9), (u'launch', 8), (u'classic', 8), (u'way', 7), (u'production', 6)]","[((u'snes', u'mini'), 55), ((u'nes', u'mini'), 10), ((u'mini', u'year'), 9), ((u'launch', u'snes'), 7), ((u'nintendo', u'launch'), 7), ((u'sources', u'nintendo'), 6), ((u'snes', u'classic'), 5), ((u'mini', u'snes'), 4), ((u'classic', u'edition'), 4), ((u'mini', u'one'), 3)]",0.57,0.31
